Category B Theory test revision question bank February 2025,,,,,,,,,,,,,,,,,,,,,,
Item,Topic,Answer,Stem,Mark Answer,OptionA,OptionB,OptionC,OptionD,Expl text,List Amendments,NI Exempt,Stem.gif,A.gif,B.gif,C.gif,D.gif,Stem HiRes,A HiRes,B HiRes,C HiRes,D HiRes,Cat B Book XRefs
AB2098,Hazard awareness,C,What should you expect if you see this sign ahead?,Mark one answer,The road will go steeply uphill,The road will go steeply downhill,The road will bend sharply to the left,The road will bend sharply to the right ,"This sign indicates that the road will bend sharply to the left. Slow down in plenty of time and select the correct gear before you start to turn. Braking hard and late, while also sharply changing direction, is likely to cause a skid.","29/01/2016:  Continuation question re-written for accessibility
25/7/2019:  Change following 2019 review",,AB2098.gif,,,,,TS4577.eps,,,,,"DES s6, HC p129, KYTS p11"
AB2099,Hazard awareness,C,What should you do as you approach this cyclist? ,Mark one answer,Try to overtake before the cyclist gets to the junction,Flash your headlights at the cyclist,Slow down and allow the cyclist to turn,Rev your engine so the cyclist knows you're following behind,Keep well back and give the cyclist time and room to turn safely. Do not intimidate them by getting too close or trying to squeeze past.,"29/01/2016:  Continuation question re-written for accessibility
25/7/2019:  Change following 2019 review
25/9/2024:  Remove negative contraction",,AB2099n1.gif,,,,,IMG_5169.jpg,,,,,"DES s10, HC r211"
AB2100,Hazard awareness,D,Why must you take great care when emerging from this junction?,Mark one answer,The road surface is poor,The footpath is narrow,The kerbs are high,The view is restricted,"You may have to pull forward slowly until you can see up and down the road. Be aware that the traffic approaching the junction cannot see you either. If you do not know that it’s clear, do not go.","09/02/2016:  AB and BB Items edited by TSO for style
25/7/2019:  Change following 2019 review
25/9/2024:  Remove negative contractions",,AB2100n1.gif,,,,,IMG_1742.jpg,,,,,"DES s7, 10"
AB2102,Hazard awareness,B,Which type of vehicle should you be ready to give way to as you approach this bridge? ,Mark one answer,Bicycles,Buses,Motorcycles,Cars,"A bus or high-sided lorry will have to take a position in the centre of the road to clear the bridge. There's normally a sign to show this. Look well ahead, past the bridge and be ready to stop and give way to large oncoming vehicles.","29/01/2016:  Continuation question re-written for accessibility
25/7/2019:  Change following 2019 review
23/11/2023:  Updates to cross references after new KYTS",,AB2102n1.gif,,,,,IMG_9457.jpg,,,,,"?DES s6, 10, KYTS p26"
AB2103,Hazard awareness,A,What type of vehicle could you expect to meet in the middle of the road?,Mark one answer,Lorry,Bicycle,Car,Motorcycle,"The highest point of the bridge is in the centre, so a large vehicle might have to move to the centre of the road to have enough room to pass safely under the bridge. ","09/02/2016:  AB and BB Items edited by TSO for style
25/7/2019:  Change following 2019 review
23/11/2023:  Updates to cross references after new KYTS",,AB2103n1.gif,,,,,IMG_9457.jpg,,,,,"?DES s6, 10, KYTS p26"
AB2105,Hazard awareness,A,What must you do at this junction?,Mark one answer,"Stop behind the line, then edge forward to see clearly","Stop beyond the line, at a point where you can see clearly",Stop only if there's traffic on the main road,Stop only if you're turning right,The ‘stop’ sign has been put here because the view into the main road is poor. You must stop because it will not be possible to take proper observation while you're moving.,"29/01/2016:  Continuation question re-written for accessibility
25/7/2019:  Change following 2019 review
25/9/2024:  Remove negative contraction",,AB2105n1.gif,,,,,IMG_1286.jpg,,,,,"DES s8, 10, HC r171, KYTS p16"
AB2114,Hazard awareness,A,"What should you do if a driver pulls out of a side road in front of you, causing you to brake hard?",Mark one answer,Ignore the error and stay calm,Flash your lights to show your annoyance,Sound your horn to show your annoyance,Overtake as soon as possible,"Be tolerant if a vehicle emerges and you have to brake quickly. Anyone can make a mistake, so do not react aggressively. Be alert where there are side roads and be especially careful where there are parked vehicles, because these can make it difficult for emerging drivers to see you. ","29/01/2016:  Continuation question re-written for accessibility
25/7/2019:  Change following 2019 review
25/9/2024:  Remove negative contraction",,,,,,,,,,,,"?DES s1, HC r147
"
AB2116,Hazard awareness,C,Why should you make allowances for older drivers?,Mark one answer,Older drivers are exempt from wearing seat belts,Older drivers can only drive cars that have automatic gearboxes,Older drivers’ reactions may be slower than other drivers,Older drivers take more risks than other drivers,"As people age, their reaction time gets slower. The rate of decline varies from person to person but you can expect them to take longer to react to a hazard and they may be hesitant in some situations – for example, at a junction.","29/01/2016:  Continuation question re-written for accessibility
25/7/2019:  Change following 2019 review
23/1/2023:  Question rewritten due to complaint by customer about it being stigmatising.",,,,,,,,,,,,"?DES s1, HC r216
"
AB2558,Hazard awareness,B,Do you need to plan rest stops when you’re planning a long journey?,Mark one answer,"Yes, you should plan to stop every half an hour","Yes, regular stops help concentration","No, you’ll be less tired if you get there as soon as possible","No, only fuel stops will be needed",Try to plan your journey so that you can take rest stops. It’s recommended that you take a break of at least 15 minutes after every two hours of driving or riding. This should help to maintain your concentration.,"29/7/2015:  Expl text slight amend after TSB July 2015 review
25/7/2019:  Change following 2019 review",,,,,,,,,,,,"DES s1, 11, HC r91"
AB2596,Hazard awareness,C,What should you do if the red lights start flashing as you approach a level crossing?,Mark one answer,Go over it quickly,Go over it carefully,Stop before the barrier,Switch on your hazard warning lights,"At level crossings, the red lights flash before and while the barrier is down. At most crossings, an amber light will precede the red lights. You must stop behind the white line unless you've already crossed it when the amber light comes on. Do not be tempted to zigzag around half-barriers. ","09/02/2016:  AB and BB Items edited by TSO for style
25/7/2019:  Change following 2019 review
23/11/2023:  Updates to cross references after new KYTS
25/9/2024:  Remove negative contraction",,AB2596n1.gif,,,,,85BW4460.jpg,,,,,"DES s6, HC r293, KYTS p30"
AB2651,Hazard awareness,D,You're approaching a crossroads. What should you do if the traffic lights have failed?,Mark one answer,Brake and stop only for large vehicles,Brake sharply to a stop before looking,Be prepared to brake sharply to a stop,Be prepared to stop for any traffic,"When approaching a junction where the traffic lights have failed, you should proceed with caution. Treat the situation as an unmarked junction and be prepared to stop. ","09/02/2016:  AB and BB Items edited by TSO for style
25/7/2019:  Change following 2019 review",,,,,,,,,,,,"?DES s6, HC r176
"
AB2657,Hazard awareness,B,What should the driver of the red car (arrowed) do?,Mark one answer,Wave towards the pedestrians who are waiting to cross,Wait for the pedestrian in the road to cross,Quickly drive behind the pedestrian in the road,Tell the pedestrian in the road she should not have crossed,"Some people might take a long time to cross the road. They may be older or have a disability. Be patient and do not hurry them by showing your impatience. If pedestrians are standing at the side of the road, do not signal or wave them to cross. Other road users might not have seen your signal and this could lead the pedestrians into a hazardous situation.","09/02/2016:  AB and BB Items edited by TSO for style
25/9/2024:  Remove negative contractions",,AB2657.gif,,,,,P5504.tif,,,,,"?DES s10, HC r206-207
"
AB2658,Hazard awareness,B,You're following a slower-moving vehicle. What should you do if there's a junction just ahead on the right?,Mark one answer,Overtake after checking your mirrors and signalling,Only consider overtaking when you're past the junction,Accelerate quickly to overtake before reaching the junction,Slow down and prepare to overtake on the left,"You should never overtake as you approach a junction. If a vehicle emerged from the junction while you were overtaking, a dangerous situation could develop very quickly.","09/02/2016:  AB and BB Items edited by TSO for style
25/7/2019:  Change following 2019 review",,,,,,,,,,,,"DES s10, HC r167"
AB2659,Hazard awareness,C,What should you do as you approach this overhead bridge?,Mark one answer,Move out to the centre of the road before going through,Find another route; this one is only for high vehicles,Be prepared to give way to large vehicles in the middle of the road,Move across to the right-hand side before going through,"Oncoming large vehicles may need to move to the middle of the road to pass safely under the bridge. There will not be enough room for you to continue, so you should be ready to stop and wait.","09/02/2016:  AB and BB Items edited by TSO for style
25/9/2024:  Remove negative contraction",,AB2659.gif,,,,,R8543.tif,,,,,"DES s6, 10"
AB2687,Hazard awareness,A,Why are vehicle mirrors often slightly curved (convex)?,Mark one answer,They give a wider field of vision,They totally cover blind spots,They make it easier to judge the speed of the traffic behind,They make the traffic behind look bigger,"Although a convex mirror gives a wide view of the scene behind, you should be aware that it will not show you everything behind or to the side of your vehicle. Before you move off, you'll need to look over your shoulder to check for anything not visible in the mirrors.","09/02/2016:  AB and BB Items edited by TSO for style
25/7/2019:  Change following 2019 review
25/9/2024:  Remove negative contraction",,,,,,,,,,,,DES s4
AB2701,Hazard awareness,D,You're on a three-lane motorway. How should you overtake a slow-moving lorry in the middle lane if it's showing this sign?,Mark one answer,"Cautiously approach the lorry, then overtake on either side",Follow the lorry until you can leave the motorway,Use the right-hand lane and overtake the lorry normally,Approach with care and overtake on the left of the lorry,"This sign is found on slow-moving or stationary works vehicles. If you wish to overtake it, do so on the left, as indicated. Be aware that there might be people working in the area.","29/01/2016:  Continuation question re-written for accessibility
25/7/2019:  Change following 2019 review
24/1/2020:  Stem changed to work better for either cards or motorcycles
21/7/2020:  Text edit to Explanation.
23/11/2023:  Updates to cross references after new KYTS",,AB2701.gif,,,,,TS4058.eps,,,,,"DES s11, HC p133, KYTS p157"
AB2716,Hazard awareness,D,What should you do if you think the driver of the vehicle in front has forgotten to cancel their right indicator?,Mark one answer,Flash your lights to alert the driver,Sound your horn before overtaking,Overtake on the left if there's room,Stay behind and do not overtake,Be cautious and do not attempt to overtake. The driver may be unsure of the location of a junction and may turn suddenly. ,"29/01/2016:  Continuation question re-written for accessibility
25/7/2019:  Change following 2019 review
25/9/2024:  Remove negative contractions",,,,,,,,,,,,"HC r104, 167"
AB2717,Hazard awareness,C,What's the main hazard the driver of the red car (arrowed) should be aware of?,Mark one answer,Glare from the sun may affect the driver's vision,The black car may stop suddenly,The bus may move out into the road,Oncoming vehicles will assume the driver is turning right,"If you can do so safely, give way to buses signalling to move off at bus stops. Try to anticipate the actions of other road users around you. The driver of the red car should be prepared for the bus pulling out. As you approach a bus stop, look to see how many passengers are waiting to board. If the last one has just got on, the bus is likely to move off.",09/02/2016:  AB and BB Items edited by TSO for style,,AB2717.gif,,,,,R8518.tif,,,,,"DES s10, HC r223"
AB2718,Hazard awareness,B,What type of vehicle displays this yellow sign?,Mark one answer,A broken-down vehicle,A school bus,An ice-cream van,A private ambulance,Buses which carry children to and from school may stop at places other than scheduled bus stops. Be aware that they might pull over at any time to allow children to get on or off. This will normally be when traffic is heavy during rush hour.,29/01/2016:  Continuation question re-written for accessibility,,AB2718.gif,,,,,TS4546.eps,,,,,HC p137
AB2719,Hazard awareness,C,What hazard should you be aware of when travelling along this street?,Mark one answer,Glare from the sun,Lack of road markings,Children running out between vehicles,Heavy goods vehicles,"On roads where there are many parked vehicles, you might not be able to see children between parked cars and they may run out into the road without looking.","7/8/2015:  Amended made during the global change to 'Mark one answer'
25/7/2019:  Change following 2019 review
16/11/2023:  Changed Large goods vehicles to Heavy goods vehicles for consistent use of terms",,AB2719n1.gif,,,,,IMG_1291.jpg,,,,,"DES s10, HC r205–206"
AB2720,Hazard awareness,B,What's the main hazard you should be aware of when following this cyclist?,Mark one answer,The cyclist may move to the left and dismount,The cyclist may swerve into the road,The cyclist may get off and push their bicycle,The cyclist may wish to turn right at the end of the road,"When following a cyclist, be aware that they have to deal with the hazards around them. They may wobble or swerve to avoid a pothole in the road or see a potential hazard and change direction suddenly. Do not follow them too closely or rev your engine impatiently. ","09/02/2016:  AB and BB Items edited by TSO for style
25/7/2019:  Change following 2019 review
25/9/2024:  Remove negative contraction",,AB2720n1.gif,,,,,IMG_1294.jpg,,,,,"DES s10, HC r213"
AB2721,Hazard awareness,A,A driver’s behaviour has upset you. How can you get over this incident safely?,Mark one answer,Stop and take a break,Shout abusive language,Gesture to them with your hand,"Follow them, flashing your headlights","If you feel yourself becoming tense or upset, stop in a safe place and take a break. Tiredness can make things worse and may cause a different reaction to upsetting situations.","29/01/2016:  Continuation question re-written for accessibility
25/7/2019:  Change following 2019 review",,,,,,,,,,,,"?DES s1, HC r147
"
AB2723,Hazard awareness,A,How should you drive or ride in areas with traffic-calming measures?,Mark one answer,At a reduced speed,At the speed limit ,In the centre of the road,With headlights on dipped beam,"Traffic-calming measures such as road humps, chicanes and narrowings are intended to slow traffic down to protect vulnerable road users. Do not speed up until you reach the end of the traffic-calmed zone.","29/7/2015:  Quotes removed from 'traffic calming' in stem
29/01/2016:  Continuation question re-written for accessibility
25/7/2019:  Change following 2019 review
20/3/2020:  Stem and expl changed to make the question suitable for both drivers and motorcyclists.
25/9/2024:  Remove negative contraction",,AB2723n1.gif,,,,,IMG_1292.jpg,,,,,"?DES s6, HC r153"
AB2724,Hazard awareness,A,Why should you slow down as you approach this hazard?,Mark one answer,Because of the level crossing,Because it’s hard to see to the right,Because of approaching traffic,Because of animals crossing,You should be slowing down and selecting the correct gear in case you have to stop at the level crossing. Look for the signals and be prepared to stop if necessary.,"7/8/2015:  Amended made during the global change to 'Mark one answer'
25/7/2019:  Change following 2019 review",,AB2724.gif,,,,,R8531.tif,,,,,"DES s6, 10, HC r291"
AB2725,Hazard awareness,C,Why are place names painted on the road surface?,Mark one answer,To restrict the flow of traffic,To warn of oncoming traffic,To help you select the correct lane in good time,To prevent you from changing lanes,"The names of towns and cities may be painted on the road at busy junctions and complex road systems. They guide you into the correct lane in good time, allowing traffic to flow more freely.",25/7/2019:  Change following 2019 review,,,,,,,,,,,,"DES s6, HC p136"
AB2736,Hazard awareness,A,Some two-way roads are divided into three lanes. Why are they particularly dangerous?,Mark one answer,Traffic in both directions can use the middle lane to overtake,Traffic can travel faster in poor weather conditions,Traffic can overtake on the left,Traffic uses the middle lane for emergencies only,"If you intend to overtake, you must consider that approaching traffic could be planning the same manoeuvre. When you've considered the situation and decided it's safe, indicate your intentions early. This will show the approaching traffic that you intend to pull out.","09/02/2016:  AB and BB Items edited by TSO for style
25/7/2019:  Change following 2019 review",,,,,,,,,,,,"DES s7, HC r135"
AB2844,Hazard awareness,D,What type of vehicle uses an amber flashing beacon on a dual carriageway?,Mark one answer,An ambulance,A fire engine,A doctor on call,A tractor,An amber flashing beacon on a vehicle indicates that it's moving slowly or stopped and a possible hazard. Look well ahead on a dual carriageway and you should be able to see and respond to these vehicles in good time.,"09/02/2016:  AB and BB Items edited by TSO for style
25/7/2019:  Change following 2019 review",,,,,,,,,,,,"HC r220, 225"
AB2847,Hazard awareness,B,What does this signal from a police officer mean to oncoming traffic?,Mark one answer,Go ahead,Stop,Turn left,Turn right,"Police officers may need to direct traffic; for example, at a junction where the traffic lights have broken down. Check your copy of The Highway Code for the signals that they use.","09/02/2016:  AB and BB Items edited by TSO for style
25/7/2019:  Change following 2019 review",,AB2847n1.gif,,,,,85BW0962.jpg,,,,,HC p124
AB2848,Hazard awareness,C,Why should you be cautious when going past this bus waiting at a bus stop?,Mark one answer,There's a zebra crossing ahead,There are driveways on the left,People may cross the road in front of it,The road surface will be slippery,A bus at a bus stop can hide pedestrians who might try to cross the road just in front of it. Drive at a speed that will enable you to respond safely if you have to.,"7/8/2015:  Amended made during the global change to 'Mark one answer'
25/7/2019:  Change following 2019 review",,AB2848n1.gif,,,,,IMG_1986.jpg,,,,,"DES s10, HC r223"
AB2871,Hazard awareness,C,Where would it be unsafe to overtake?,Mark one answer,On a single carriageway,On a one-way street,Approaching a junction,Travelling up a long hill,"You should overtake only when it's really necessary and you can see it’s clear ahead. Look out for road signs and markings that show it's illegal or would be unsafe to overtake; for example, approaching junctions or bends. In many cases, overtaking is unlikely to significantly improve your journey time.","7/8/2015:  Amended made during the global change to 'Mark one answer'
29/01/2016:  Continuation question re-written for accessibility
25/7/2019:  Change following 2019 review",,,,,,,,,,,,"DES s7, HC r167"
AB2902,Hazard awareness,A,How can drinking alcohol affect your ability to drive or ride?,Mark one answer,Your ability to judge speed will be reduced,Your confidence will be reduced,Your reactions will be faster,Your awareness of danger will be improved,"Alcohol will severely reduce your ability to drive or ride safely and there are serious consequences if you’re caught over the drink-drive limit. It's known that alcohol can
•  affect your judgement
•  cause overconfidence
•  reduce coordination and control.","7/8/2015:  Amended made during the global change to 'Mark one answer'
23/6/2016:  Expl text - reduced changed to reduce
25/7/2019:  Change following 2019 review
20/3/2020:  Stem changed to make it suitable for drivers and motorcyclists",,,,,,,,,,,,"DES s1, HC r95"
BB1081,Hazard awareness,B,What does the solid white line at the side of the road indicate?,Mark one answer,Traffic lights ahead,Edge of the carriageway,Footpath on the left,Cycle path,"The continuous white line shows the edge of the carriageway. It can be especially useful when visibility is restricted, such as at night or in bad weather. It's discontinued in some places; for example, at  junctions, lay-bys, entrances or other openings. ","09/02/2016:  AB and BB Items edited by TSO for style
25/7/2019:  Change following 2019 review
23/11/2023:  Updates to cross references after new KYTS",,BB1081n1.gif,,,,,DSCF2715.jpg,,,,,"HC p134, KYTS p78"
BB1085,Hazard awareness,B,You're driving towards this level crossing. What would be the first warning of an approaching train?,Mark one answer,Both half-barriers down,A steady amber light,One half-barrier down,Twin flashing red lights,The steady amber light will be followed by twin flashing red lights that mean you must stop. An alarm will also sound to alert you to the fact that a train is approaching.,"09/02/2016:  AB and BB Items edited by TSO for style
25/7/2019:  Change following 2019 review
23/11/2023:  Updates to cross references after new KYTS",,BB1085n1.gif,,,,,85BW4461.jpg,,,,,"?DES s6, HC r293, KYTS p30"
BB1087,Hazard awareness,B,"You're behind this cyclist. When the traffic lights change, what should you do?",Mark one answer,Try to move off before the cyclist,Allow the cyclist time and room,Turn right but give the cyclist room,Tap your horn and drive through first,Hold back and allow the cyclist to move off. Some junctions have special areas marked across the front of the traffic lane. These allow cyclists to wait for the lights to change and move off ahead of other traffic.,"09/02/2016:  AB and BB Items edited by TSO for style
25/7/2019:  Change following 2019 review",,BB1087n1.gif,,,,,IMG_1983.jpg,,,,,"?DES s10, HC r178"
BB1095,Hazard awareness,D,You intend to turn left at the traffic lights. What should you do just before turning?,Mark one answer,Check your right mirror,Move up closer to the car ahead,Move out to the right,Check for bicycles on your left,"If you've been in a queue of traffic and are about to turn left, check your nearside for cyclists as they often filter past on the nearside of slow-moving or stationary vehicles.","29/01/2016:  Continuation question re-written for accessibility
25/7/2019:  Change following 2019 review",,BB1095n1.gif,,,,,85BW6802.jpg,,,,,"?DES s10, HC r211"
BB1096,Hazard awareness,A,Why should you reduce your speed here?,Mark one answer,A staggered junction is ahead,A low bridge is ahead,The road surface changes ahead,The road narrows ahead,"Traffic could be turning off or pulling out ahead of you, to the left or right. Vehicles turning left will be slowing down before the junction, and any vehicles turning right may have to stop to allow oncoming traffic to clear. Be prepared for this, as you might have to slow down or stop behind them.","29/01/2016:  Continuation question re-written for accessibility
25/7/2019:  Change following 2019 review",,BB1096n1.gif,,,,,IMG_2355.jpg,,,,,"?DES s8, HC p128, KYTS p10"
BB1099,Hazard awareness,C,What might you expect to happen in this situation?,Mark one answer,Traffic will move into the right-hand lane,Traffic speed will increase,Traffic will move into the left-hand lane,Traffic will not need to change position,Be courteous and allow the traffic to merge into the left-hand lane.,"09/02/2016:  AB and BB Items edited by TSO for style
25/7/2019:  Change following 2019 review
23/11/2023:  Updates to cross references after new KYTS
25/9/2024:  Remove negative contraction",,BB1099n1.gif,,,,,IMG_1758.jpg,,,,,"?DES s10, HC r134, p133, KYTS p151"
BB1100,Hazard awareness,B,You're driving on a road with several lanes. What do these signs above the lanes mean?,Mark one answer,The two right lanes are open,The two left lanes are open,Traffic in the left lanes should stop,Traffic in the right lanes should stop,"On some busy roads, lane control signals are used to vary the number of lanes available to give priority to the main traffic flow. A green arrow indicates that the lane is available to traffic facing the signal. A white diagonal arrow means that the lane is closed ahead and traffic should move to the next lane on the left. A red cross means that the lane is closed to traffic facing the signal.","09/02/2016:  AB and BB Items edited by TSO for style
25/7/2019:  Change following 2019 review
23/11/2023:  Updates to cross references after new KYTS",,BB1100.gif,,,,,TS4064.eps,,,,,"HC r258, p122, KYTS p142"
BB1109,Hazard awareness,B,You're invited to a pub lunch. What should you do if you know that you'll have to drive in the evening?,Mark one answer,Avoid mixing your alcoholic drinks,Do not drink any alcohol at all,Have some milk before drinking alcohol,Eat a hot meal with your alcoholic drinks,Alcohol will stay in your body for several hours and may make you unfit to drive later in the day. Drinking during the day will also affect your performance at work or study.,"09/02/2016:  AB and BB Items edited by TSO for style
25/7/2019:  Change following 2019 review
25/9/2024:  Remove negative contraction",,,,,,,,,,,,"DES s1, HC r95"
BB1112,Hazard awareness,B,What will become more expensive after you've been convicted of driving while unfit through drink or drugs?,Mark one answer,Road fund licence,Insurance premiums,Vehicle test certificate,Driving licence,"You've shown that you're a risk to yourself and others on the road. For this reason, insurance companies may charge you a higher premium. ","09/02/2016:  AB and BB Items edited by TSO for style
25/7/2019:  Change following 2019 review",,,,,,,,,,,,"?DES s2, HC p148"
BB1113,Hazard awareness,C,What advice should you give to a driver who has had a few alcoholic drinks at a party?,Mark one answer,Have a strong cup of coffee and then drive home,Drive home carefully and slowly,Go home by public transport,Wait a short while and then drive home,"Drinking black coffee or waiting a few hours will not make any difference. Alcohol takes time to leave the body. 
A driver who has been drinking should go home by public transport or taxi. They might even be unfit to drive the following morning.",25/9/2024:  Remove negative contraction,,,,,,,,,,,,"DES s1, HC r95"
BB1115,Hazard awareness,D,What should you do about driving if you've been taking medicine that causes drowsiness?,Mark one answer,Only drive if your journey is necessary,Drive on quiet roads,Ask someone to come with you,Avoid driving and check with your doctor,"You’re not fit to drive if you're taking medicine that makes you drowsy. Check with your doctor if you're unsure. You must not put other road users, your passengers or yourself at risk.","29/01/2016:  Continuation question re-written for accessibility
25/7/2019:  Change following 2019 review
25/9/2024:  Remove negative contractions",,,,,,,,,,,,"DES s1, HC r96"
BB1116,Hazard awareness,C,What should you do if a doctor prescribes drugs that are likely to affect your driving?,Mark one answer,Only drive if someone is with you,Avoid driving on motorways,Get someone else to drive,Never drive at more than 30 mph,"You should not drive if you're taking medicine that could cause you to feel drowsy at the wheel. Ask someone else to drive or, if that’s not possible, find another way to get home.","29/01/2016:  Continuation question re-written for accessibility
25/7/2019:  Change following 2019 review
25/9/2024:  Remove negative contractions",,,,,,,,,,,,"DES s1, HC r96"
BB1117,Hazard awareness,C,What must you do if your ability to drive is impaired during a period of illness?,Mark one answer,See your doctor each time before you drive,Take smaller doses of any medicines,Stop driving until you're fit to drive again,Take all your medicines with you when you drive,Only drive if you're fit to do so. Driving when you're ill or taking some medicines can affect your concentration and judgement. It may also cause you to become drowsy or even fall asleep.,"5/8/2015:  5 August 2015 changed to Mark one answer
29/01/2016:  Continuation question re-written for accessibility
25/7/2019:  Change following 2019 review",,,,,,,,,,,,"DES s1, HC r96"
BB1120,Hazard awareness,A,What should you do if you begin to feel drowsy while you're driving?,Mark one answer,Stop and rest as soon as possible,Turn the heater up to keep you warm and comfortable,Close the car windows to help you concentrate,Continue with your journey but drive more slowly,"You'll be putting other road users at risk if you continue to drive when you're drowsy. Pull over and stop in a safe place for a rest. If you're driving a long distance, think about finding some accommodation so you can rest for longer before continuing your journey.","5/8/2015:  5 August 2015 changed to Mark one answer
29/01/2016:  Continuation question re-written for accessibility
01/10/2021:  Remove reference to caffeinated drinks since removal of this advice from Rule 91 in Highway Code",,,,,,,,,,,,"DES s1, HC r91"
BB1121,Hazard awareness,B,What should you do if you become tired while you're driving on a motorway?,Mark one answer,Pull up on the hard shoulder and change drivers,Leave the motorway at the next exit and rest,Increase your speed and turn up the radio volume,Close all your windows and set the heating to warm,"If you feel yourself becoming tired or sleepy, you should leave the motorway at the next exit or services and stop for a rest. If you have to drive a long way, leave earlier and plan your journey to include rest stops. That way, you're less likely to become tired while driving and you'll still arrive in good time. ","5/8/2015:  5 August 2015 changed to Mark one answer
29/01/2016:  Continuation question re-written for accessibility",,,,,,,,,,,,"DES s1, 11, HC r91"
BB1123,Hazard awareness,A,You're about to drive home. What should you do if you feel very tired and have a severe headache?,Mark one answer,Wait until you're fit and well before driving,"Drive home, but take a tablet for headaches",Drive home if you can stay awake for the journey,"Wait for a short time, then drive home slowly","All of your concentration should be on your driving. Any pain you feel will distract you, and you should avoid driving when drowsy. The safest course of action is to wait until you've rested and are feeling better before starting your journey.","29/01/2016:  Continuation question re-written for accessibility
25/7/2019:  Change following 2019 review",,,,,,,,,,,,"DES s1, HC r90–91"
BB1127,Hazard awareness,B,What can you do to help prevent tiredness on a long journey?,Mark one answer,Eat a large meal before driving,Take regular refreshment breaks,Play loud music in the car,Complete the journey without stopping,"Long-distance driving can be boring. This, coupled with a stuffy, warm vehicle, can make you feel tired and sleepy. Make sure you take rest breaks to help you stay awake and alert. Stop in a safe place before you get to the stage of fighting sleep.","5/8/2015:  5 August 2015 changed to Mark one answer
29/01/2016:  Continuation question re-written for accessibility
25/7/2019:  Change following 2019 review",,,,,,,,,,,,"DES s1, HC r91"
BB1284,Hazard awareness,C,You take some cough medicine given to you by a friend. What should you do before driving your car?,Mark one answer,Ask your friend if taking the medicine affected their driving,Drink some strong coffee one hour before driving,Check the label to see if the medicine will affect your driving,Drive a short distance to see if the medicine is affecting your driving,"If you've taken medicine, never drive without first checking what the side effects might be; they might affect your judgement and perception, and therefore endanger lives.","09/02/2016:  AB and BB Items edited by TSO for style
25/7/2019:  Change following 2019 review",,,,,,,,,,,,"DES s1, HC r96"
BB1353,Hazard awareness,C,You're driving on a one-way street. What should you do if you realise you've taken the wrong route?,Mark one answer,Reverse out of the road,Turn around in a side road,Continue and find another route,Reverse into a driveway,"Never reverse or turn your vehicle around in a one-way street. It's illegal and could even cause a collision. If you've taken a wrong turn, carry on along the one-way street and find another route, checking the direction signs as you drive. Stop in a safe place if you need to check a map.","29/01/2016:  Continuation question re-written for accessibility
25/2/2016:  Hi-res stem graphic changed from TS4532.eps to TS4693.eps (same image) to avoid holding duplicate images in the Hi-res TT Cars images folder.
25/7/2019:  Change following 2019 review",,BB1353.gif,,,,,TS4693.eps,,,,,"?DES s7, HC r143"
BB1380,Hazard awareness,A,What will be a serious distraction while you're driving?,Mark one answer,Looking at road maps,Switching on your demister,Using your windscreen washers,Looking in your door mirror,"Looking at road maps while driving is very dangerous. If you’re not sure of your route, stop in a safe place and check the map. You must not allow anything to take your attention away from the road while you’re driving.","5/8/2015:  5 August 2015 changed to Mark one answer
25/7/2019:  Change following 2019 review
25/9/2024:  Remove negative contraction",,,,,,,,,,,,"DES s1, HC r148-150"
BB1397,Hazard awareness,C,What should you do if the vehicle starts reversing off the driveway?,Mark one answer,Move to the opposite side of the road,Drive through as you have priority,Sound your horn and be prepared to stop,Speed up and drive through quickly,"White lights at the rear of a car show that the driver has selected reverse gear. The driver is hidden from view so cannot see you approaching. Sound your horn to warn of your presence, and be ready to stop if the car reverses into your path.","29/01/2016:  Continuation question re-written for accessibility
25/7/2019:  Change following 2019 review
25/9/2024:  Remove negative contraction",,BB1397n1.gif,,,,,IMG_1798.jpg,,,,,"?DES s5, 10, HC r112"
BB1398,Hazard awareness,D,You've been involved in an argument that's made you feel angry. What should you do before starting your journey?,Mark one answer,Open a window,Turn on your radio,Have an alcoholic drink,Calm down,"If you're feeling upset or angry, you'll find it much more difficult to concentrate on your driving. You should wait until you've calmed down before starting a journey.","29/01/2016:  Continuation question re-written for accessibility
25/7/2019:  Change following 2019 review",,,,,,,,,,,,DES s1
BB1454,Hazard awareness,C,You're driving on this dual carriageway. Why may you need to slow down?,Mark one answer,There's a broken white line in the centre,There are solid white lines on either side,There are roadworks ahead of you,There are no footpaths,"Look well ahead and read any road signs as you drive. They're there to inform you of what's ahead. In this case, you may need to slow down and change direction. 
Check your mirrors so you know what's happening around you before you change speed or direction.","09/02/2016:  AB and BB Items edited by TSO for style
25/7/2019:  Change following 2019 review
23/11/2023:  Updates to cross references after new KYTS",,BB1454n1.gif,,,,,IMG_1776.jpg,,,,,"DES s6, HC p133, KYTS p150-151"
BB1455,Hazard awareness,C,You've just been overtaken by this motorcyclist. What should you do if the rider cuts in sharply?,Mark one answer,Sound the horn,Brake firmly,Keep a safe gap,Flash your lights,"If another vehicle cuts in sharply, ease off the accelerator and drop back to allow a safe separation distance. Try not to overreact by braking sharply or swerving, as you could lose control. If vehicles behind you are too close or unprepared, it could lead to a crash.","29/01/2016:  Continuation question re-written for accessibility
25/7/2019:  Change following 2019 review",,BB1455.gif,,,,,R8525.tif,,,,,"?DES s10, HC r147"
